assetCode,time,sourceTimestamp,firstCreated,sourceId,headline,urgency,takeSequence,provider,subjects,audiences,bodySize,companyCount,headlineTag,marketCommentary,sentenceCount,wordCount,assetCodes,assetName,firstMentionSentence,relevance,sentimentClass,sentimentNegative,sentimentNeutral,sentimentPositive,sentimentWordCount,noveltyCount12H,noveltyCount24H,noveltyCount3D,noveltyCount5D,noveltyCount7D,volumeCounts12H,volumeCounts24H,volumeCounts3D,volumeCounts5D,volumeCounts7D
PTR.N,2007-01-01,2007-01-01 04:29:32+00:00,2007-01-01 04:29:32+00:00,e58c6279551b85cf,China's Daqing pumps 43.41 mln tonnes of oil in 06,3,1,RTRS,"{'CRU', 'CN', 'RTRS', 'ENR', 'LEN', 'EMRG', 'NGS', 'ASIA'}","{'O', 'Z', 'OIL'}",1438,1,,False,11,275,"['PTR.N', '0857.F', '0857.DE', '0857.HK']",PetroChina Co Ltd,6,0.235702,-1,0.500739,0.41932700000000006,0.0799341,73,0,0,0,0,0,0,0,3,6,7
0857.F,2007-01-01,2007-01-01 04:29:32+00:00,2007-01-01 04:29:32+00:00,e58c6279551b85cf,China's Daqing pumps 43.41 mln tonnes of oil in 06,3,1,RTRS,"{'CRU', 'CN', 'RTRS', 'ENR', 'LEN', 'EMRG', 'NGS', 'ASIA'}","{'O', 'Z', 'OIL'}",1438,1,,False,11,275,"['PTR.N', '0857.F', '0857.DE', '0857.HK']",PetroChina Co Ltd,6,0.235702,-1,0.500739,0.41932700000000006,0.0799341,73,0,0,0,0,0,0,0,3,6,7
0857.DE,2007-01-01,2007-01-01 04:29:32+00:00,2007-01-01 04:29:32+00:00,e58c6279551b85cf,China's Daqing pumps 43.41 mln tonnes of oil in 06,3,1,RTRS,"{'CRU', 'CN', 'RTRS', 'ENR', 'LEN', 'EMRG', 'NGS', 'ASIA'}","{'O', 'Z', 'OIL'}",1438,1,,False,11,275,"['PTR.N', '0857.F', '0857.DE', '0857.HK']",PetroChina Co Ltd,6,0.235702,-1,0.500739,0.41932700000000006,0.0799341,73,0,0,0,0,0,0,0,3,6,7
0857.HK,2007-01-01,2007-01-01 04:29:32+00:00,2007-01-01 04:29:32+00:00,e58c6279551b85cf,China's Daqing pumps 43.41 mln tonnes of oil in 06,3,1,RTRS,"{'CRU', 'CN', 'RTRS', 'ENR', 'LEN', 'EMRG', 'NGS', 'ASIA'}","{'O', 'Z', 'OIL'}",1438,1,,False,11,275,"['PTR.N', '0857.F', '0857.DE', '0857.HK']",PetroChina Co Ltd,6,0.235702,-1,0.500739,0.41932700000000006,0.0799341,73,0,0,0,0,0,0,0,3,6,7
STA.N,2007-01-01,2007-01-01 07:03:34+00:00,2007-01-01 07:03:34+00:00,5a31c4327427f63f,"FEATURE-In kidnapping, finesse works best",3,1,RTRS,"{'BD', 'INS', 'LATAM', 'CA', 'US', 'MX', 'IL', 'LIF', 'RTRS', 'FEA', 'LEN', 'MEAST', 'CO', 'ASIA', 'HT'}","{'PGE', 'PCU', 'PCO', 'DNP', 'MD', 'E', 'G', 'PSC', 'ESN', 'U', 'RNP'}",4413,1,FEATURE,False,55,907,['STA.N'],Travelers Companies Inc,8,0.44721400000000006,-1,0.600082,0.345853,0.0540643,62,1,1,1,1,1,1,1,3,3,3
WMT.N,2007-01-01,2007-01-01 11:29:56+00:00,2007-01-01 11:29:56+00:00,1cefd27a40fabdfe,PRESS DIGEST - Wall Street Journal - Jan 1,3,1,RTRS,"{'IQ', 'RO', 'US', 'ID', 'RET', 'RTRS', 'ENR', 'PRESS', 'BG', 'LEN', 'TH', 'NGS', 'BY'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",2108,2,PRESS DIGEST,False,15,388,"['WMT.N', 'WMT.DE']",Wal-Mart Stores Inc,14,0.37796399999999997,-1,0.450049,0.295671,0.25428,67,0,0,0,0,0,0,0,5,11,17
WMT.DE,2007-01-01,2007-01-01 11:29:56+00:00,2007-01-01 11:29:56+00:00,1cefd27a40fabdfe,PRESS DIGEST - Wall Street Journal - Jan 1,3,1,RTRS,"{'IQ', 'RO', 'US', 'ID', 'RET', 'RTRS', 'ENR', 'PRESS', 'BG', 'LEN', 'TH', 'NGS', 'BY'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",2108,2,PRESS DIGEST,False,15,388,"['WMT.N', 'WMT.DE']",Wal-Mart Stores Inc,14,0.37796399999999997,-1,0.450049,0.295671,0.25428,67,0,0,0,0,0,0,0,5,11,17
GOOG.O,2007-01-01,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"['GOOG.O', 'GOOG.OQ', 'GOOGa.DE']",Google Inc,13,0.149071,-1,0.7529170000000001,0.162715,0.08436779999999999,83,0,0,0,0,0,0,0,5,13,15
GOOG.OQ,2007-01-01,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"['GOOG.O', 'GOOG.OQ', 'GOOGa.DE']",Google Inc,13,0.149071,-1,0.7529170000000001,0.162715,0.08436779999999999,83,0,0,0,0,0,0,0,5,13,15
GOOGa.DE,2007-01-01,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,"['GOOG.O', 'GOOG.OQ', 'GOOGa.DE']",Google Inc,13,0.149071,-1,0.7529170000000001,0.162715,0.08436779999999999,83,0,0,0,0,0,0,0,5,13,15
XMSR.O,2007-01-01,2007-01-01 12:08:37+00:00,2007-01-01 12:08:37+00:00,23768af19dc69992,PRESS DIGEST - New York Times - Jan 1,3,1,RTRS,"{'PUB', 'BUS', 'INS', 'CA', 'ENT', 'US', 'FIN', 'SFWR', 'RTRS', 'WWW', 'PRESS', 'USC', 'LEI', 'FUND', 'LEN'}","{'M', 'PMF', 'DNP', 'PTD', 'T', 'E', 'D', 'PSC', 'U', 'NAT', 'RNP'}",1776,6,PRESS DIGEST,False,14,325,['XMSR.O'],XM Satellite Radio Holdings Inc,11,0.149071,-1,0.699274,0.20936,0.0913665,102,0,0,0,0,0,0,0,0,0,0
